College_Name,College_ID,Branch_Name,Branch_ID,College_Branch_ID,Caste,Gender,Percentile,Rank,University_Category
"A. P. Shah Institute of Technology, Thane",3475,Civil Engineering,347519110,3475-347519110,Other,Female,45.1726604,69172.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Civil Engineering,347519110,3475-347519110,Other,General,14.9570903,92327.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Computer Engineering,347524510,3475-347524510,Other,Female,45.1726604,69202.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Computer Engineering,347524510,3475-347524510,Other,General,12.2261844,94146.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Computer Engineering,347524510,3475-347524510,TFWS,General,88.6688216,17310.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Computer Science and Engineering(Data Science),347591210,3475-347591210,Other,Female,65.8083801,48771.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Computer Science and Engineering(Data Science),347591210,3475-347591210,Other,General,52.2112775,62349.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Computer Science and Engineering(Data Science),347591210,3475-347591210,TFWS,General,83.0720017,25895.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Information Technology,347524610,3475-347524610,Other,Female,54.0906775,60703.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Information Technology,347524610,3475-347524610,Other,General,37.427407,76224.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Information Technology,347524610,3475-347524610,TFWS,General,85.8931076,21273.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Mechanical Engineering,347561210,3475-347561210,Other,Female,51.9482809,62988.0,State Level
"A. P. Shah Institute of Technology, Thane",3475,Mechanical Engineering,347561210,3475-347561210,Other,General,10.0211076,95569.0,State Level
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",6318,Computer Science and Engineering,631824210,6318-631824210,EWS,General,14.9465104,92681.0,State Level
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",6318,Computer Science and Engineering,631824210,6318-631824210,OBC,Female,5.2316816,98130.0,State Level
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",6318,Computer Science and Engineering,631824210,6318-631824210,Other,Female,37.3800409,76562.0,State Level
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",6318,Computer Science and Engineering,631824210,6318-631824210,Other,General,1.6313858,99960.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,EWS,General,37.6726418,75708.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,NT2,General,7.0794162,97074.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,NT3,General,36.4202981,77261.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,OBC,Female,18.2274908,89876.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,OBC,General,26.6971381,84789.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,Other,Female,21.1515665,88099.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,Other,General,14.5140215,92883.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,SC,General,8.93593,95869.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,TFWS,General,63.5909492,51380.0,State Level
"Aditya Engineering College , Beed",2136,Computer Engineering,213624510,2136-213624510,VJ,General,10.7217903,94923.0,State Level
"Aditya Engineering College , Beed",2136,Food Engineering and Technology,213653410,2136-213653410,EWS,General,72.6591951,39666.0,State Level
"Aditya Engineering College , Beed",2136,Food Engineering and Technology,213653410,2136-213653410,Other,Female,41.6222736,72180.0,State Level
"Aditya Engineering College , Beed",2136,Food Engineering and Technology,213653410,2136-213653410,Other,General,13.8182957,93258.0,State Level
"Aditya Engineering College , Beed",2136,Information Technology,213624610,2136-213624610,EWS,General,8.4069679,96419.0,State Level
"Aditya Engineering College , Beed",2136,Information Technology,213624610,2136-213624610,OBC,General,4.8427858,98260.0,State Level
